source_nd2,source_stem,treatment,label_id,area_px,mean_intensity,max_intensity,min_intensity,integrated_intensity
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,1,26.0,7222.7307692307695,10931.0,4559.0,187791.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,2,26.0,7316.538461538462,10369.0,4684.0,190230.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,3,31.0,7153.354838709677,10572.0,4192.0,221754.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,4,22.0,6916.681818181818,9482.0,4713.0,152167.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,5,26.0,7507.807692307692,10757.0,4296.0,195203.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,6,20.0,5906.3,8974.0,4031.0,118126.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,7,26.0,5379.192307692308,7418.0,3911.0,139859.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,8,24.0,5874.708333333333,8067.0,4099.0,140993.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,9,22.0,8751.863636363636,12352.0,4532.0,192541.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,10,21.0,7305.238095238095,9801.0,4660.0,153410.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,11,27.0,6159.444444444444,9038.0,4149.0,166305.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,12,28.0,5865.75,8498.0,3785.0,164241.0
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,13,24.0,5231.791666666667,6564.0,4181.0,125563.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,1,2239.0,5478.710138454668,11138.0,3808.0,12266832.000000002
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,2,1158.0,7085.949913644215,14896.0,3315.0,8205530.000000001
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,3,1149.0,7279.36727589208,18188.0,3617.0,8363993.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,4,221.0,6341.067873303167,11043.0,4021.0,1401376.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,5,150.0,6977.913333333333,14063.0,3762.0,1046687.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,6,167.0,5494.293413173653,11798.0,3312.0,917547.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,7,185.0,4935.367567567568,6949.0,3817.0,913043.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,8,134.0,6064.358208955224,11260.0,3692.0,812624.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,9,172.0,8191.790697674419,15867.0,3675.0,1408988.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,10,108.0,6536.148148148148,12751.0,3867.0,705904.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,11,189.0,5451.079365079365,9358.0,3450.0,1030254.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,12,74.0,7842.040540540541,14841.0,4043.0,580311.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,13,232.0,6008.982758620689,13973.0,3469.0,1394084.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,14,81.0,5958.740740740741,10108.0,3759.0,482658.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,15,95.0,6438.557894736842,11181.0,3642.0,611663.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,16,112.0,6227.410714285715,10362.0,3544.0,697470.0
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,17,96.0,6033.291666666667,11339.0,3766.0,579196.0
