source_nd2,source_stem,treatment,fg_ratio_pred,ld_count,ld_total_area_px,ld_mean_area_px,ld_median_area_px,ld_mean_intensity,ld_mean_integrated_intensity
72-KLH45-100nMTg_bodipyLD_1079.nd2,72-KLH45-100nMTg_bodipyLD_1079,72-KLH45-100nMTg,0.0017309188842773438,13,323.0,24.846153846153847,26.0,6660.877081823607,165244.84615384616
72-KLH45-100nMTg_bodipyLD_1080.nd2,72-KLH45-100nMTg_bodipyLD_1080,72-KLH45-100nMTg,0.009652137756347656,51,8022.0,157.2941176470588,47.0,6273.444192999638,988289.1764705882
72-KLH45-100nMTg_bodipyLD_1081.nd2,72-KLH45-100nMTg_bodipyLD_1081,72-KLH45-100nMTg,0.010206222534179688,81,9448.0,116.64197530864197,60.0,6587.480221217099,818169.3333333334
72-KLH45-100nMTg_bodipyLD_1082.nd2,72-KLH45-100nMTg_bodipyLD_1082,72-KLH45-100nMTg,0.00119781494140625,4,171.0,42.75,43.5,8074.414897147666,365086.75
72-KLH45-100nMTg_bodipyLD_1083.nd2,72-KLH45-100nMTg_bodipyLD_1083,72-KLH45-100nMTg,0.004311561584472656,40,2548.0,63.7,34.5,7328.196519171432,467653.45
72-KLH45-100nMTg_bodipyLD_1084.nd2,72-KLH45-100nMTg_bodipyLD_1084,72-KLH45-100nMTg,0.0015172958374023438,15,1085.0,72.33333333333333,64.0,6820.148161371321,542982.8666666667
72-KLH45-100nMTg_bodipyLD_1085.nd2,72-KLH45-100nMTg_bodipyLD_1085,72-KLH45-100nMTg,0.0021009445190429688,24,1139.0,47.458333333333336,35.5,7121.364896876235,335818.4166666667
72-KLH45-100nMTg_bodipyLD_1086.nd2,72-KLH45-100nMTg_bodipyLD_1086,72-KLH45-100nMTg,0.0016336441040039062,13,396.0,30.46153846153846,28.0,6497.80319945768,207835.84615384616
72-KLH45-100nMTg_bodipyLD_1087.nd2,72-KLH45-100nMTg_bodipyLD_1087,72-KLH45-100nMTg,0.0018291473388671875,25,1169.0,46.76,35.0,6450.016429865981,325081.24
72-KLH45-100nMTg_bodipyLD_1088.nd2,72-KLH45-100nMTg_bodipyLD_1088,72-KLH45-100nMTg,0.0032806396484375,25,1678.0,67.12,33.0,6257.8848568035955,413710.96
